ts,type,object_id,zone
1777358977.089598,zone_exit,2,right
1777358977.1897047,zone_enter,2,right
1777358977.223328,zone_exit,1,left
1777358977.3231375,zone_exit,2,right
1777358977.7907333,zone_enter,2,right
1777358978.157806,zone_exit,2,right
1777358978.4582098,zone_enter,2,right
1777358978.5252273,zone_exit,2,right
1777358979.2929003,zone_enter,2,right
1777358979.3265173,zone_exit,2,right
1777358979.359757,zone_enter,2,right
1777358979.5601273,zone_exit,2,right
1777358979.593791,zone_enter,2,right
1777358979.626701,zone_exit,2,right
1777358979.6600785,zone_enter,2,right
1777358979.927503,zone_exit,2,right
1777358979.9939506,zone_enter,2,right
1777358980.0606954,zone_exit,2,right
1777358980.0942414,zone_enter,2,right
1777358980.1275487,zone_exit,2,right
1777358980.5282068,zone_enter,2,right
1777358980.6616335,zone_exit,2,right
1777358980.695036,zone_enter,2,right
1777358981.0956042,zone_exit,2,right
1777358981.3960552,zone_enter,2,right
1777358981.463049,zone_enter,1,left
1777358981.830421,zone_exit,1,left
1777358982.1641943,zone_exit,2,right
1777358982.197366,zone_enter,2,right
1777358982.2310598,zone_exit,2,right
1777358982.2976663,zone_enter,2,right
1777358982.33123,zone_exit,2,right
1777358982.665037,zone_enter,2,right
1777358983.0989585,zone_exit,2,right
1777358983.1658082,zone_enter,2,right
1777358983.5661647,zone_exit,2,right
1777358983.7664998,zone_enter,2,right
1777358984.1002276,zone_exit,2,right
1777358985.0018444,zone_enter,2,right
1777358985.4357917,zone_exit,2,right
1777358986.0032363,zone_enter,2,right
1777358986.0367231,zone_exit,2,right
1777358986.2035062,zone_enter,2,right
1777358986.2704034,zone_exit,2,right
1777358986.57087,zone_enter,2,right
1777358986.6377752,zone_exit,2,right
1777358987.839322,zone_enter,2,right
1777358988.1734524,zone_exit,2,right
1777358988.3734636,zone_enter,2,right
1777358988.44049,zone_exit,2,right
1777358988.9080112,zone_enter,2,right
1777358989.0078373,zone_exit,2,right
1777358989.0414648,zone_enter,2,right
1777358989.0746222,zone_exit,2,right
1777358989.342027,zone_enter,2,right
1777358989.508739,zone_exit,2,right
1777358990.3099856,zone_enter,2,right
1777358990.4107862,zone_enter,1,left
1777358990.5101266,zone_exit,1,left
1777358990.576921,zone_exit,2,right
1777358990.710405,zone_enter,2,right
1777358990.777155,zone_exit,2,right
1777358990.8108904,zone_enter,1,left
1777358991.0112524,zone_enter,2,right
1777358991.0444689,zone_exit,2,right
1777358991.1113296,zone_enter,2,right
1777358991.1443958,zone_exit,1,left
1777358991.1443958,zone_exit,2,right
1777358991.2115707,zone_enter,2,right
1777358991.2781699,zone_enter,1,left
1777358991.2781699,zone_exit,2,right
1777358991.3451755,zone_enter,2,right
1777358991.4118528,zone_exit,2,right
1777358991.4784186,zone_enter,2,right
