object_id,frames_seen,frames_total,coverage_pct,jitter_std_m,max_error_m
12,4387,4387,100.0,7.470890110542238e-05,nan
4,4387,4387,100.0,6.74523232431145e-05,nan
7,4387,4387,100.0,8.046360780077644e-05,nan
