object_id,zone,dwell_s
0,left,10.415424346923828
1,left,52.382044315338135
12,left,13.854177236557007
12,right,39.360167264938354
2,right,14.692708253860474
3,right,32.68328237533569
4,left,36.18912601470947
4,right,16.959323406219482
7,left,36.22268748283386
7,right,16.024040937423706
