ts,type,object_id,zone
1778678145.963447,zone_enter,3,right
1778678145.996688,zone_exit,3,right
1778678146.029941,zone_enter,3,right
1778678146.0636203,zone_enter,2,right
1778678146.1300569,zone_exit,2,right
1778678146.330486,zone_exit,3,right
1778678146.3641176,zone_enter,3,right
1778678146.397406,zone_exit,3,right
1778678146.4306195,zone_enter,3,right
1778678146.4306195,zone_exit,4,left
1778678146.4306195,zone_enter,4,right
1778678146.4642923,zone_exit,3,right
1778678147.2319195,zone_enter,3,right
1778678147.298916,zone_exit,1,left
1778678147.3321388,zone_enter,1,left
1778678147.599082,zone_exit,3,right
1778678147.9664357,zone_enter,3,right
1778678147.9997294,zone_exit,3,right
1778678148.0328968,zone_enter,3,right
1778678148.0999212,zone_exit,3,right
1778678148.5005844,zone_enter,2,right
1778678148.533896,zone_exit,2,right
1778678148.5672755,zone_enter,3,right
1778678148.968109,zone_exit,12,right
1778678148.968109,zone_enter,12,left
1778678149.4686193,zone_exit,3,right
1778678149.502186,zone_exit,1,left
1778678149.535429,zone_enter,3,right
1778678149.6023796,zone_exit,3,right
1778678149.669054,zone_enter,1,left
1778678149.9693968,zone_exit,1,left
1778678150.0362856,zone_enter,3,right
1778678150.069567,zone_exit,3,right
1778678150.1697948,zone_enter,3,right
1778678150.2030685,zone_enter,1,left
1778678150.2030685,zone_exit,3,right
1778678150.5036097,zone_exit,7,left
1778678150.5036097,zone_enter,7,right
1778678150.9374166,zone_enter,2,right
1778678150.9707055,zone_exit,2,right
1778678151.338185,zone_enter,3,right
1778678151.3713973,zone_exit,3,right
1778678151.4382937,zone_enter,3,right
1778678151.4714372,zone_enter,2,right
1778678151.5716252,zone_exit,2,right
1778678151.5716252,zone_exit,4,right
1778678151.5716252,zone_enter,4,left
1778678151.6718874,zone_exit,3,right
1778678151.6718874,zone_exit,4,left
1778678151.73858,zone_enter,2,right
1778678151.8389707,zone_exit,2,right
1778678151.872297,zone_enter,2,right
1778678151.9058769,zone_enter,3,right
1778678151.9391704,zone_exit,2,right
1778678151.9391704,zone_exit,3,right
1778678151.9724174,zone_enter,4,left
1778678152.2727768,zone_exit,1,left
1778678152.4730978,zone_enter,3,right
1778678152.5063748,zone_exit,3,right
1778678152.5731127,zone_enter,2,right
1778678152.640233,zone_exit,12,left
1778678152.640233,zone_enter,12,right
1778678152.7735243,zone_enter,1,left
1778678152.9072375,zone_exit,2,right
1778678153.374422,zone_enter,2,right
1778678153.4412832,zone_exit,2,right
1778678153.6080608,zone_enter,2,right
1778678153.6416254,zone_exit,2,right
1778678153.6748347,zone_enter,2,right
1778678153.7082229,zone_exit,2,right
1778678154.008727,zone_enter,2,right
1778678154.0423055,zone_exit,2,right
1778678154.275986,zone_enter,2,right
1778678154.9771051,zone_exit,2,right
1778678155.277376,zone_enter,2,right
1778678155.4444375,zone_exit,2,right
1778678155.811754,zone_enter,2,right
1778678156.1787455,zone_exit,2,right
1778678156.2456667,zone_enter,2,right
1778678156.4128122,zone_exit,2,right
1778678156.4792204,zone_enter,2,right
1778678156.512638,zone_exit,2,right
1778678156.5462353,zone_enter,2,right
1778678157.047001,zone_exit,2,right
1778678157.3139262,zone_enter,2,right
1778678157.3475194,zone_exit,2,right
1778678157.4139736,zone_enter,2,right
1778678157.480999,zone_exit,2,right
1778678157.647669,zone_enter,2,right
1778678157.8481493,zone_exit,2,right
1778678157.914951,zone_enter,2,right
1778678158.1484993,zone_exit,2,right
1778678158.282323,zone_enter,2,right
1778678158.8164244,zone_exit,2,right
1778678158.8497045,zone_enter,2,right
1778678159.2500687,zone_exit,2,right
1778678159.483832,zone_enter,2,right
1778678159.5171566,zone_exit,2,right
1778678159.5505946,zone_enter,2,right
1778678159.583925,zone_exit,2,right
1778678159.6507447,zone_enter,2,right
1778678159.7174969,zone_exit,2,right
1778678159.8843622,zone_enter,2,right
1778678160.1514878,zone_exit,2,right
1778678160.6856556,zone_enter,2,right
1778678161.0194595,zone_exit,2,right
1778678161.0194595,zone_exit,7,right
1778678161.0194595,zone_enter,7,left
1778678161.3199797,zone_enter,2,right
1778678161.5870526,zone_exit,2,right
1778678161.9877415,zone_enter,2,right
1778678162.455244,zone_exit,2,right
1778678162.989384,zone_enter,2,right
1778678163.0229747,zone_exit,2,right
1778678163.1227477,zone_enter,2,right
1778678163.1895797,zone_exit,2,right
1778678163.5234501,zone_enter,2,right
1778678163.9244745,zone_exit,2,right
1778678164.1913464,zone_enter,2,right
1778678164.3916883,zone_exit,2,right
1778678164.4584868,zone_enter,2,right
1778678164.4918091,zone_exit,2,right
1778678164.825477,zone_enter,0,left
1778678164.8925421,zone_exit,1,left
1778678164.8925421,zone_enter,2,right
1778678164.8925421,zone_enter,3,right
1778678164.9593024,zone_exit,0,left
1778678164.9593024,zone_exit,3,right
1778678164.9925666,zone_enter,0,left
1778678165.059577,zone_exit,0,left
1778678165.0928369,zone_enter,0,left
1778678165.5600162,zone_exit,2,right
1778678165.6269035,zone_enter,1,left
1778678165.6937106,zone_exit,0,left
1778678166.3278005,zone_enter,2,right
1778678166.4612837,zone_exit,2,right
1778678166.494703,zone_enter,2,right
1778678166.528445,zone_exit,2,right
1778678166.661609,zone_enter,2,right
1778678166.7286754,zone_exit,2,right
1778678166.7618377,zone_enter,2,right
1778678166.7950711,zone_exit,2,right
1778678167.1956475,zone_exit,1,left
1778678167.262722,zone_enter,0,left
1778678167.262722,zone_enter,3,right
1778678167.3630137,zone_enter,2,right
1778678167.396242,zone_exit,2,right
1778678167.396242,zone_exit,3,right
