ts_unix,point,gt_x_m,gt_y_m,meas_x_m,meas_y_m,err_m,err_cm,marker_id,px_u,px_v
1778685195.1793938,p00,0.143,0.143,0.1481235584849249,0.13365597596039017,0.0106565302421216,1.06565302421216,7,299.61474609375,143.3875732421875
1778685246.2914834,p10,0.275,0.143,0.2829840008741189,0.1393914666006528,0.008761608485440059,0.8761608485440059,7,307.54058837890625,202.9965057373047
1778685263.050304,p20,0.408,0.143,0.4149861606245891,0.13582926970085685,0.010011284298011366,1.0011284298011367,7,311.0000915527344,271.3042297363281
1778685283.6489656,p01,0.143,0.2,0.13483917382273805,0.1964742084757777,0.008889898186580179,0.8889898186580178,7,331.7267150878906,134.57366943359375
1778685297.5370464,p11,0.275,0.2,0.27490059066153183,0.198151482915298,0.0018511881668295982,0.18511881668295982,7,340.0605773925781,195.88726806640625
1778685309.688902,p21,0.408,0.2,0.4014805478571052,0.20032520124762854,0.0065275578967140995,0.6527557896714099,7,349.1962890625,260.14398193359375
1778685321.5404658,p02,0.143,0.258,0.13832735287014195,0.25974821183180624,0.004988975426782329,0.4988975426782329,7,364.87054443359375,132.5904083251953
1778685332.390762,p12,0.275,0.258,0.2749392281721202,0.2584750160086211,0.00047888769404754594,0.047888769404754596,7,373.91656494140625,192.5402374267578
1778685344.8094409,p22,0.408,0.258,0.40386214851682406,0.25781186837492187,0.004142126073066301,0.41421260730663007,7,384.1458740234375,258.1369323730469
